x_m,y_m,phi_rad,Ux_mps,Uy_mps,r_radps
0.7264258724748386,0.5764244586371305,0.44726089999999985,2.5708741,0,1.6657485123122802
0.8146902441684329,0.6220193673698503,0.5060997999999999,2.5789965,0,1.3811926652599502
0.9008217738636044,0.6725278937168913,0.5550028,2.614765,0,1.202299801227
0.9849846695768204,0.7272700457317359,0.599399,2.6657698,0,1.13136789800786
1.0663346078604916,0.7852339297263651,0.6397008,2.7205013,0,1.04677843925633
1.1455208242637558,0.8463892364326152,0.6765998,2.7801919,0,0.9825326063427401
1.2224672597376285,0.9102914830487171,0.7106933,2.8426981,0,0.93464274874432
1.2972126674462094,0.9766355418435938,0.7423528999999998,2.9064141,0,0.8872811408215799
1.3699318496993864,1.0452720533432989,0.7720492999999999,2.9713751,0,0.86187141589331
1.440469198404028,1.1158210424942416,0.8002987999999998,3.0355183,0,0.84729329521312
1.5090949350096632,1.1884017174262371,0.8280189,3.0979626,0,0.85109459080272
1.5755010090705948,1.262557574861196,0.8538972999999999,3.1571111000000003,0,0.7556273906295401
1.6402043657141898,1.3383666880678664,0.8756238999999999,3.1812621,0,0.6527727140853
1.7036404041569455,1.415871313078631,0.8954917999999998,3.1041392999999995,0,0.59019962794083
1.7649147935414198,1.4937900426641415,0.9155718999999998,3.0235411,0,0.67473433893833
1.8253646752913568,1.5742854561438455,0.9401015999999998,2.9521072,0,0.80447607617552
1.8829642972868104,1.655572607087589,0.9715612999999999,2.900984,0,1.0386816558863998
1.9378646074552472,1.7392274837482438,1.0113187999999997,2.8678913,0,1.2395840679729202
1.9891572382065048,1.8252723037121728,1.0577937999999998,2.8508048,0,1.41055341303824
2.035958699832449,1.9133516144570664,1.1090051,2.8414605,0,1.4935742155240503
2.0783180435922,2.004330549743665,1.1631842,2.8404607000000004,0,1.5777935454897
2.1153544679661573,2.096884835490422,1.2187164,2.8399381,0,1.58286108356456
2.1473230079436267,2.1917922608938576,1.2747276000000003,2.8395835,0,1.5847394640564498
2.1738992821044376,2.2879693280193925,1.3286985000000002,2.8392288,0,1.48872378429792
2.19545318487686,2.3856484473700847,1.3795460999999998,2.8484729,0,1.3832352462301098
2.2122432255789666,2.4840999675137656,1.4246979999999998,2.8676928,0,1.201584790896
2.2249123270784428,2.583284815618333,1.4631691,2.90384,0,0.9958208204160002
2.2341816974548543,2.682785782784109,1.492642,2.9583081,0,0.7314863481773101
2.2409926336595247,2.782557879574274,1.5126526,3.0358264,0,0.46441374027128
2.246272979388007,2.8823413712845136,1.5232215,3.1355189,0,0.18312214255725
2.250949471234306,2.9823472356751166,1.5258243,3.2426736000000003,0,0.04228381520928
2.25547394078104,3.0820545649414264,1.5264368,3.344773200000001,0,-0.0029086147747200003
2.2600056608402608,3.1821368854610625,1.5263832000000002,3.4423412000000004,0,0.016134253204399998
2.2644611139239657,3.2815855116392,1.5274670000000001,3.5358174,0,0.060850356708780015
2.26878952317512,3.3815878950878195,1.5291681000000001,3.625574700000002,0,0.05720866830624
2.2729447322096843,3.4812194280207653,1.530633,3.7119336000000014,0,0.06294065970168
2.2769128704988355,3.5811471050845207,1.5335986,3.6701654,0,0.15579631913076
2.2804526022316107,3.681003294579764,1.5392047,3.5709095,0,0.25750292622735
2.283268019166598,3.7808973429406736,1.5482386000000004,3.4803134,0,0.3788641324732801
2.284990511727451,3.880848365088665,1.5612840000000001,3.4017218,0,0.5314921576477799
2.285149588502548,3.9806631465273856,1.5796389999999998,3.3378631000000003,0,0.70713798025585
2.283196629802453,4.080700919112825,-4.6797623999999995,3.2873707000000003,0,0.8637826216535299
2.278631194851381,4.180353248099142,-4.6510148000000004,3.2503329,0,1.01575568397978
2.2709509136023813,4.28011463459445,-4.6178713,3.2233353,0,1.128779788707
2.2598062097452014,4.379350951187803,-4.5810735000000005,3.2055411,0,1.22924936108004
2.244867987711574,4.478130110373958,-4.5415109000000005,3.1948795,0,1.30561977595795
2.225902949223232,4.5762807706420165,-4.4996645,3.1891277,0,1.3574152116236795
2.202832072387243,4.673334718375734,-4.4565358,3.1875296000000004,0,1.39973923574208
2.175455208109508,4.769595867313081,-4.4124343,3.1868092,0,1.4088434133102798
2.143921172189702,4.86434336954516,-4.3681365,3.1864112,0,1.41224707746416
2.1081986291600963,4.957680616892072,-4.324066800000001,3.1860132,0,1.39851929161788
2.0683905349347147,5.049422529641874,-4.280457,3.1870045,0,1.3754866022653502
2.0248066521907218,5.139074380633577,-4.2378605,3.1902516,0,1.35048550338108
1.9772316364872773,5.227259547627279,-4.1960466,3.1958497,0,1.31482082391047
1.926238461461249,5.313123517538556,-4.1555032,3.2047564,0,1.28246851998024
1.8718657231160247,5.396866886350728,-4.116145599999999,3.2164945,0,1.2487843690085498
1.814138312156744,5.4786407105194606,-4.0778056,3.2310733,0,1.2213211512429198
1.753603050436153,5.557865529199336,-4.0406173,3.2477537,0,1.1987380960611205
1.6900101812836306,5.635015768586394,-4.0039051,3.2659658,0,1.19160362536242
1.6236886373701638,5.709739800371248,-3.9673967,3.2841171,0,1.21231245117411
1.5547828695381767,5.781843259320072,-3.9302258,3.2994506,0,1.2429109597014398
1.483080965349634,5.851426331353053,-3.8919884000000002,3.3111037000000003,0,1.2837009978544598
1.4088810790318411,5.918085077766008,-3.8538048000000003,3.3182127999999995,0,1.2194398857872
1.3321270022949585,5.982120051512925,-3.8190622,3.3314325,0,1.09400545409925
1.2535337014292502,6.043418196484794,-3.7878263,3.3565778,0,0.9981908541863002
1.1732301678781376,6.102301018649715,-3.7594290000000004,3.3272306000000005,0,0.93107690584324
