x_m,y_m,psi_rad,vx_mps,vy_mps,r_radps
0.80898235165576,0.4533290851307208,2.0072609,2.5708741,0,1.6657485123122802
0.9033834466317207,0.4842795016085267,2.0660998,2.5789965,0,1.3811926652599502
0.9964617705420113,0.5204205760174455,2.1150028,2.614765,0,1.2022998012269999
1.088271098923205,0.5610548404287048,2.159399,2.6657698,0,1.13136789800786
1.1778166795441893,0.6053178418830889,2.1997008,2.7205013,0,1.04677843925633
1.2657346266341618,0.6530762232007677,2.2365998,2.7801919,0,0.9825326063427401
1.3518790384219699,0.7039032964241251,2.2706933,2.8426981,0,0.93464274874432
1.4362395606856255,0.7574916570475223,2.3023529,2.9064141,0,0.88728114082158
1.518964967351118,0.8136660041327254,2.3320493,2.9713751,0,0.86187141589331
1.5998411009192965,0.8720760071421599,2.3602988,3.0355183,0,0.84729329521312
1.6791537234031462,0.9327963003972519,2.3880189,3.0979626,0,0.85109459080272
1.75652598971444,0.9954252894514766,2.4138973,3.1571111,0,0.75562739062954
1.8324806806800837,1.0599576915952338,2.4356239,3.1812621,0,0.6527727140853
1.907454366441062,1.126365856114245,2.4554918,3.1041393,0,0.59019962794083
1.98035998767282,1.1935272260189116,2.4755719,3.0235411,0,0.67473433893833
2.0528621451294478,1.263363727642234,2.5001016,2.9521072,0,0.80447607617552
2.122676586584621,1.334435952363796,2.5315613,2.900984,0,1.0386816558863998
2.1902034155727974,1.4082757100320167,2.5713188,2.8678913,0,1.2395840679729202
2.25454940649165,1.485049653949735,2.6177938,2.8508048,0,1.41055341303824
2.314785724138334,1.5645476276848422,2.6690051,2.8414605,0,1.4935742155240503
2.371098624813383,1.647615900131078,2.7231842,2.8404607,0,1.5777935454897
2.4224075762536668,1.733087439502957,2.7787164,2.8399381,0,1.58286108356456
2.46908827193876,1.8216894687988803,2.8347276,2.8395835,0,1.5847394640564498
2.5106478527326406,1.9124040091624679,2.8886985,2.8392288,0,1.48872378429792
2.5474885157314135,2.0054015716663356,2.9395461,2.8484729,0,1.3832352462301098
2.579749221629258,2.0999206392683427,2.984698,2.8676928,0,1.201584790896
2.608058456408722,2.195820208884328,3.0231691,2.90384,0,0.9958208204160002
2.633061747389263,2.292573498927832,3.052642,2.9583081,0,0.73148634817731
2.6556812009665958,2.3899861288571835,3.0726526,3.0358264,0,0.46441374027127996
2.676791429284393,2.487653859092254,3.0832215,3.1355189,0,0.18312214255725
2.697340944591161,2.585637326622021,3.0858243,3.2426736,0,0.04228381520928
2.7176928172555037,2.683350292052175,3.0864368,3.3447732,0,-0.0029086147747200003
2.7381115907575686,2.7814323039399893,3.0863832,3.4423412,0,0.0161342532044
2.758354112374553,2.8789008662023203,3.087467,3.5358174,0,0.06085035670878001
2.7785594364690915,2.9769363531460016,3.0891681,3.6255747,0,0.05720866830624
2.7985346893452467,3.074633320290451,3.090633,3.7119336,0,0.06294065970168
2.818372442029431,3.172652452776314,3.0935986,3.6701654,0,0.15579631913076
2.837775870801571,3.270669263748384,3.0992047,3.5709095,0,0.25750292622735
2.856470267850167,3.368838846560166,3.1082386,3.4803134,0,0.37886413247328
2.874094777099529,3.4672387982002415,3.121284,3.4017218,0,0.5314921576477799
2.8901541340044683,3.565753329894199,3.139639,3.3378631,0,0.70713798025585
2.9041639584144225,3.6648244902363607,-3.1197624,3.2873707,0,0.8637826216535299
2.9155332668092826,3.7639313451723972,-3.0910148,3.2503329,0,1.01575568397978
2.923844888802054,3.86364211638283,-3.0578713,3.2233353,0,1.128779788707
2.928652685079761,3.96338646985726,-3.0210735,3.2055411,0,1.22924936108004
2.929642583215442,4.0632838815791406,-2.9815109,3.1948795,0,1.30561977595795
2.926556966961394,4.1632023671974325,-2.9396645,3.1891277,0,1.3574152116236797
2.919243228795275,4.2626922830819955,-2.8965358,3.1875296,0,1.39973923574208
2.907552195062348,4.362085548561482,-2.8524343,3.1868092,0,1.4088434133102798
2.8915159365841623,4.460646813846738,-2.8081365,3.1864112,0,1.41224707746416
2.8711199903313953,4.558483142473963,-2.7640668,3.1860132,0,1.3985192916178801
2.846436510623572,4.655395415950357,-2.720457,3.1870045,0,1.37548660226535
2.8176924845829023,4.750845875290548,-2.6778605,3.1902516,0,1.3504855033810799
2.7847746337288517,4.845484244317283,-2.6360466,3.1958497,0,1.31482082391047
2.7481124737762537,4.938375639267354,-2.5955032,3.2047564,0,1.28246851998024
2.707776066344994,5.0297119449223855,-2.5561456,3.2164945,0,1.2487843690085498
2.6638140502619065,5.119638322794233,-2.5178056,3.2310733,0,1.2213211512429198
2.6166739443164713,5.207495594649744,-2.4806173,3.2477537,0,1.19873809606112
2.566184766639971,5.293791917758442,-2.4439051,3.2659658,0,1.19160362536242
2.51261522774795,5.378127750096461,-2.4073967,3.2841171,0,1.21231245117411
2.456076967532677,5.460288195352861,-2.3702258,3.2994506,0,1.24291095970144
2.396376741694767,5.540405921311057,-2.3319884,3.3111037,0,1.2837009978544598
2.3337445414321367,5.618034647264674,-2.2938048,3.3182128,0,1.2194398857872
2.268172759945129,5.693480042293928,-2.2590622,3.3314325,0,1.0940054540992499
2.2003492195656507,5.76651658717629,-2.2278263,3.3565778,0,0.9981908541863002
2.1304524859202227,5.837441130689801,-2.199429,3.3272306,0,0.9310769058432401
2.0578574297951118,5.907093420437103,-2.1717783,3.2847893,0,0.8825052894530601
1.984534820200382,5.973727847066427,-2.1450735,3.2354126,0,0.8758828105405
1.9084782451911033,6.039182080079411,-2.1175305,3.1853942,0,0.91217298704562
1.8308683055323733,6.102166916340993,-2.0868661,3.1453479,0,1.0312872334082999
1.7512430535399846,6.162566183965349,-2.0518911,3.1165491,0,1.1582542534382398
1.6692352376522834,6.220099313851432,-2.0125418,3.0992046,0,1.28179259242296
1.5852964074996545,6.273983234213708,-1.9700919,3.0877084,0,1.3459848913736399
1.4987312984293395,6.324362770335277,-1.9252229,3.0828983,0,1.41534196187918
1.4102286799925356,6.370591737826554,-1.8789414,3.0807824,0,1.4433363878180798
1.3195270814780657,6.4126873031431035,-1.8315745,3.0803977,0,1.46085026956616
1.2270028751942301,6.4504202480362105,-1.7846017,3.0800129,0,1.4364964564697
