# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
7.0940843,-0.8071709,-6.411848,-1.9829408,0.4358184,2.9931814,-0.2829879
7.194001,-0.7146387,-6.449847,-1.9373009,0.474934,2.9837199,-0.1433943
7.2939177,-0.6206249,-6.4833713,-1.8890715,0.4921944,2.9789142,-0.0110896
7.3938343,-0.524901,-6.5122834,-1.838879,0.5072301,2.9785422,-0.0110896
7.493751,-0.4279342,-6.5362976,-1.7882671,0.5062631,2.9781701,-0.0013861
7.5936677,-0.3298569,-6.5553863,-1.7380017,0.4926397,2.9781236,0.1195836
7.6935844,-0.2309613,-6.5696307,-1.6901435,0.4655492,2.982133,0.3487002
7.7935011,-0.1315122,-6.5792734,-1.6455179,0.4225797,2.9937934,0.7012992
7.8934178,-0.0317447,-6.5847096,-1.6057641,0.3733623,3.0171082,1.0899255
7.9933344,0.0681917,-6.5864286,-1.5711403,0.3190403,3.0529896,1.5146557
8.0932511,0.1680834,-6.5849609,-1.5419722,0.2637552,3.1021645,0.2642116
8.1931678,0.2680036,-6.5808688,-1.5188405,0.1989029,3.1106627,-2.5576433
8.2930845,0.3677633,-6.5747949,-1.5022547,0.130794,3.0273949,-3.2933812
8.3930012,0.4674487,-6.5674218,-1.4929366,0.0553013,2.9166749,-4.037069
8.4929178,0.5672132,-6.5594909,-1.4913185,-0.0238875,2.7749327,-3.7557987
8.5928345,0.6666258,-6.55183,-1.4978578,-0.1083337,2.6362317,-3.2872962
8.6927512,0.7667511,-6.5452047,-1.5130056,-0.1939627,2.5085467,-2.8749398
8.7926679,0.8662062,-6.5405643,-1.5368824,-0.285436,2.3912962,-2.5520359
8.8925846,0.9665142,-6.538743,-1.5699009,-0.3752604,2.2821734,-2.2845237
8.9925012,1.066515,-6.5406944,-1.6122525,-0.4674902,2.1798604,-2.0527966
9.0924179,1.1656613,-6.5472681,-1.6633644,-0.5649173,2.0836445,-1.9173564
9.1923346,1.2655975,-6.5595711,-1.7246571,-0.6536926,1.9895785,-1.8046543
9.2922513,1.3636974,-6.5782587,-1.7950599,-0.7504166,1.8967847,-1.7061533
9.392168,1.4593022,-6.6040007,-1.8743539,-0.8590881,1.8046734,-1.6548163
9.4920846,1.5541468,-6.6384695,-1.966299,-0.9735773,1.7106018,-1.5822811
9.5920013,1.6447383,-6.6818924,-2.0715507,-1.1191645,1.6155389,-1.4923484
9.691918,1.729613,-6.7351295,-2.1935413,-1.3022809,1.5204424,-1.2644905
9.7918347,1.8066593,-6.7990053,-2.3371281,-1.5726046,1.4349417,-0.0690636
9.8917514,1.871769,-6.8732433,-2.5154261,-2.1676955,1.4301246,-0.0025559
9.991668,1.9240893,-6.9568531,-2.5599152,2.2007628,1.429946,-0.0025559
10.0915847,1.9810235,-7.0380654,-2.5460332,-0.795657,1.4297674,2.870935
10.1915014,2.0329008,-7.1229707,-2.6447983,-1.0792457,1.618006,1.6713234
10.2914181,2.0756445,-7.2131661,-2.7535682,-1.092157,1.718118,1.2723396
10.3913348,2.1083962,-7.3078327,-2.8636852,-1.0993153,1.7905824,0.9713835
10.4912514,2.1305348,-7.4056228,-2.9744524,-1.1004869,1.8439903,0.7537635
10.5911681,2.1418046,-7.5052544,-3.0830623,-1.0737479,1.8843905,0.6827603
10.6910848,2.1423807,-7.6049363,3.0951637,-1.0407225,1.9202515,0.6578664
10.7910015,2.132605,-7.7043135,2.9923895,-1.0169739,1.9541825,0.6115767
10.8909182,2.1127348,-7.8023545,2.8911552,-1.0011968,1.985206,0.5493142
10.9908348,2.0831328,-7.897909,2.7912853,-0.9918162,2.0126634,0.4772734
11.0907515,2.0442869,-7.9898833,2.6926886,-0.9884453,2.0362194,0.3965361
11.1906682,1.9964858,-8.0777834,2.5944634,-0.9809774,2.0555852,0.1908216
11.2905849,1.9402283,-8.1606595,2.4960342,-0.9826479,2.0648397,-0.3153849
11.3905016,1.8761142,-8.2375425,2.3967563,-0.997018,2.0495215,-0.2481345
11.4904182,1.8047347,-8.3075367,2.295501,-1.0255607,2.0373888,-0.122466
11.5903349,1.7266268,-8.3697782,2.1910027,-1.0620897,2.031374,-0.0495902
11.6902516,1.6422977,-8.4234562,2.0838892,-1.0823465,2.0289333,-0.0051444
11.7901683,1.5525665,-8.4677529,1.9745096,-1.093416,2.02868,-0.0051444
11.890085,1.4588067,-8.5020691,1.8703694,-1.0108064,2.0284266,0.3358794
11.9900016,1.3636525,-8.5270712,1.8019064,-0.199954,2.0449045,3.6586384
12.0899183,1.2679453,-8.5472288,1.7472625,-0.7310306,2.2164729,0.9024866
12.189835,1.1688297,-8.5610134,1.6711579,-0.7081311,2.2567896,0.8870515
12.2897517,1.0685297,-8.5677457,1.6067787,-0.5617645,2.2957268,1.5327098
12.3896684,0.9672767,-8.5687589,1.5569336,-0.4316485,2.3614928,2.0858772
12.489585,0.8683729,-8.5655,1.5207953,-0.3088531,2.4481577,2.6414043
12.5895017,0.7687679,-8.5591362,1.49495,-0.2055422,2.5536869,3.1514425
12.6894184,0.6679868,-8.5505839,1.4787998,-0.1167897,2.6741504,3.653986
12.7893351,0.5694165,-8.541062,1.4715869,-0.032072,2.8073597,3.5864686
12.8892518,0.4695983,-8.5310883,1.472027,0.0398688,2.9322286,3.5231383
12.9891684,0.370072,-8.521537,1.4792789,0.1037029,3.0499189,3.4634131
13.0890851,0.2705951,-8.5130205,1.4923698,0.1561601,3.1613463,2.9268257
13.1890018,0.1704982,-8.5060222,1.5103976,0.2027128,3.2525356,-1.4324227
13.2889185,0.0710854,-8.5010766,1.5322743,0.2339289,3.2082304,-1.9444216
