# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,0.3274338,0.5815828,-1.316985,0.1588259,3.477325,-2.5596267
0.099931,0.4242189,0.6075264,-1.3006487,0.1688093,3.4029718,-2.5544112
0.1998619,0.5206092,0.6351178,-1.2832439,0.1770082,3.327114,-2.5499793
0.2997929,0.6163539,0.6643685,-1.2654078,0.1739625,3.2496222,-2.6655255
0.3997238,0.7114373,0.6952301,-1.2488216,0.1535068,3.1665923,-2.9541769
0.4996548,0.8058203,0.7274537,-1.235627,0.0985547,3.0719505,-3.5755763
0.5995858,0.8996811,0.7605014,-1.2295915,0.0708559,2.9533469,-2.6892673
0.6995167,0.9933856,0.794347,-1.2163545,0.2224818,2.8609047,-1.0553106
0.7994477,1.0864599,0.8303519,-1.1835093,0.4332478,2.8238023,-0.1373433
0.8993786,1.1779074,0.8702963,-1.1324442,0.5502598,2.8189377,-0.1250317
0.9993096,1.2669892,0.915107,-1.0771536,0.5393814,2.8145019,-0.2179556
1.0992406,1.3534782,0.9645732,-1.0257825,0.5220504,2.8067525,-0.1880789
1.1991715,1.4375246,1.0186445,-0.9720112,0.551221,2.8000482,-0.0097979
1.2991025,1.5188396,1.0775524,-0.9152763,0.5741032,2.7996985,-0.0097979
1.3990334,1.5962017,1.1406384,-0.858153,0.5719412,2.7993488,0.0082713
1.4989644,1.6696385,1.2078318,-0.8015055,0.56575,2.799644,0.0558505
1.5988954,1.739522,1.2794327,-0.7451688,0.5566364,2.8016368,0.1210556
1.6988263,1.8055585,1.3551217,-0.68977,0.5465411,2.8059514,0.1870418
1.7987573,1.8668673,1.4336526,-0.6362205,0.5300759,2.8126048,0.296816
1.8986882,1.9240979,1.5155433,-0.5840273,0.5119716,2.8231309,0.4095887
1.9986192,1.9772389,1.6005569,-0.533578,0.4939004,2.8375922,0.5130839
2.0985502,2.0258922,1.6876659,-0.4855702,0.4695367,2.8556042,0.6609812
2.1984811,2.0704881,1.7771201,-0.4398274,0.4431334,2.8786421,0.8175811
2.2984121,2.1111442,1.8686254,-0.3968271,0.4162025,2.9068855,0.9725335
2.398343,2.147855,1.9614477,-0.3569533,0.3833625,2.9401286,1.1752729
2.498274,2.1810444,2.0557814,-0.3202349,0.3483479,2.9798067,1.3958334
2.598205,2.2109172,2.1511771,-0.2873485,0.310184,3.0262555,1.647818
2.6981359,2.2378066,2.2474433,-0.2579207,0.2792721,3.080188,1.8385306
2.7980669,2.2619886,2.3443848,-0.2314441,0.2536201,3.1392691,1.9882527
2.8979978,2.2837021,2.4419182,-0.2069514,0.2364278,3.2019348,2.0632352
2.9979288,2.3030962,2.5398953,-0.1841409,0.2208949,3.2656927,2.1308802
3.0978598,2.320337,2.6383525,-0.1628109,0.2061661,3.3302598,2.1996243
3.1977907,2.3355327,2.7370744,-0.1428536,0.1934036,3.3956224,2.2555947
3.2977217,2.3488199,2.8360825,-0.1241654,0.1808981,3.4613666,2.3176725
3.3976526,2.3603302,2.9354498,-0.1066834,0.1686279,3.5276442,2.385993
3.4975836,2.3701429,3.034766,-0.0904985,0.1557126,3.5945991,2.4718642
3.5975146,2.3784227,3.1343756,-0.0755885,0.142229,3.6626731,2.5752036
3.6974455,2.3852865,3.2340961,-0.0620962,0.1277681,3.7322727,2.4138479
3.7973765,2.390872,3.3337721,-0.0501416,0.111172,3.7963529,-2.909264
3.8973074,2.3953598,3.4337331,-0.0398694,0.0948453,3.7189843,-3.2016864
3.9972384,2.3988831,3.5334601,-0.0309353,0.084226,3.6319347,-3.3700427
4.0971694,2.4015649,3.6333627,-0.0226302,0.0915209,3.5379946,-3.1024659
4.1971003,2.4033248,3.7333696,-0.0121084,0.1187161,3.4492523,-2.4814567
4.2970313,2.4038624,3.8330944,0.0023875,0.1782936,3.3765948,-1.8704178
4.3969622,2.4026215,3.9332037,0.0234491,0.2397053,3.3207781,-1.5223194
4.4968932,2.3990317,4.0327081,0.0493252,0.2789329,3.2746471,-1.322297
4.5968242,2.3926524,4.1325187,0.078777,0.3050737,3.2340434,-1.24233
4.6967551,2.3832431,4.2320327,0.1100199,0.3202934,3.1954252,-1.1490269
4.7966861,2.3706545,4.3311764,0.1428515,0.336982,3.1592872,-1.027397
4.896617,2.3546953,4.4300448,0.1775511,0.356476,3.1266209,-0.9707323
4.996548,2.3352817,4.5280226,0.2138661,0.3695824,3.0954395,-0.8929043
