Ux_mps,Uy_mps,r_radps,ax_mps2,ay_mps2,speed,delta_rad,TxR,latitude,longitude,altitude,roll,pitch,yaw
0.01419592,-0.00077866,0.00179037,-0.01343060,0.00703060,0.00000000,0.00000000,0.00000000,39.96300430,116.30366376,64.82598672,0.00704583,-0.01298421,-0.00507775
0.01236457,-0.00104694,0.00238493,0.00467753,0.00480712,0.00000000,0.00000000,0.00000000,39.96300430,116.30366376,64.82496465,0.00701279,-0.01320948,-0.00526611
0.01030472,-0.00115207,0.00108406,-0.01188809,-0.02039132,0.00000000,0.00000000,0.00000000,39.96300430,116.30366375,64.82383515,0.00702547,-0.01341376,-0.00548387
0.00928714,-0.00137079,0.00073537,-0.00755586,-0.00427998,0.00000000,0.00000000,0.00000000,39.96300430,116.30366375,64.82319536,0.00703549,-0.01354163,-0.00564149
0.00708307,-0.00138623,0.00056252,-0.01477238,0.00365880,0.00000000,0.00000000,0.00000000,39.96300430,116.30366375,64.82229404,0.00704718,-0.01375419,-0.00582476
0.00265230,-0.00166476,0.00159964,-0.00671725,-0.00805417,0.00000000,0.00000000,0.00000000,39.96300430,116.30366372,64.82198238,0.00705971,-0.01411143,-0.00615629
-0.00257052,-0.00216076,-0.00010133,-0.00087906,0.00543916,0.00000000,0.00000000,0.00000000,39.96300430,116.30366368,64.82151989,0.00711935,-0.01455470,-0.00655114
-0.00697680,-0.00256830,0.00141785,-0.00549119,-0.01237110,0.00000000,0.00000000,0.00000000,39.96300429,116.30366365,64.82107829,0.00715508,-0.01499794,-0.00692555
-0.01060570,-0.00266604,0.00132397,-0.02313022,-0.00257089,0.00000000,0.00000000,0.00000000,39.96300429,116.30366363,64.82078417,0.00715321,-0.01520741,-0.00714860
-0.01481444,-0.00270084,0.00204071,-0.01084814,0.00148052,0.00000000,0.00000000,0.00000000,39.96300429,116.30366360,64.82049560,0.00717295,-0.01551745,-0.00744662
-0.01657591,-0.00264372,0.00057891,-0.03954725,-0.00225349,0.00000000,0.00000000,0.00000000,39.96300429,116.30366359,64.82099715,0.00719727,-0.01555254,-0.00763796
-0.01809025,-0.00296485,0.00125393,-0.02726620,-0.02578355,0.00000000,0.00000000,0.00000000,39.96300429,116.30366357,64.82148020,0.00724924,-0.01562960,-0.00782097
-0.01888227,-0.00295963,0.00370666,-0.01794521,-0.01775632,0.00000000,0.00000000,0.00000000,39.96300429,116.30366356,64.82171160,0.00725631,-0.01566304,-0.00789694
-0.02028152,-0.00305552,0.00511333,-0.03510352,-0.00980156,0.00000000,0.00000000,0.00000000,39.96300429,116.30366355,64.82213956,0.00726498,-0.01572012,-0.00803718
-0.02172320,-0.00319380,-0.00000447,-0.02889986,-0.02534784,0.00000000,0.00000000,0.00000000,39.96300429,116.30366353,64.82238748,0.00728580,-0.01574333,-0.00818585
-0.02196869,-0.00347781,0.00121221,-0.02346517,-0.00920927,0.00000000,0.00000000,0.00000000,39.96300429,116.30366353,64.82293121,0.00729296,-0.01567454,-0.00818636
-0.02220850,-0.00360426,0.00184253,-0.03921177,0.00432109,0.00000000,0.00000000,0.00000000,39.96300429,116.30366352,64.82359464,0.00729408,-0.01562906,-0.00820545
-0.02238530,-0.00378758,-0.00030547,-0.02497261,-0.02041316,0.00000000,0.00000000,0.00000000,39.96300429,116.30366352,64.82396130,0.00730009,-0.01557980,-0.00823647
-0.02261052,-0.00409948,0.00105426,-0.03651281,0.00328751,0.00000000,0.00000000,0.00000000,39.96300429,116.30366351,64.82462297,0.00731253,-0.01552989,-0.00825863
