x_m,y_m,latitude,longitude
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.011299211046803686,0.005081440168227138,39.96300551,116.30368251
-0.011299211046803686,0.005081440168227138,39.96300551,116.30368251
-0.011465378682335475,0.003981976802463544,39.9630055,116.30368251
-0.011631546317867263,0.00288251343669995,39.96300549,116.30368251
-0.01264040849152185,0.0019104108937120794,39.96300548,116.3036825
-0.012806576127053637,0.0008109475279484854,39.96300547,116.3036825
-0.01264040849152185,0.0019104108937120794,39.96300548,116.3036825
-0.01264040849152185,0.0019104108937120794,39.96300548,116.3036825
-0.01264040849152185,0.0019104108937120794,39.96300548,116.3036825
-0.012474240855990063,0.003009874259475673,39.96300549,116.3036825
-0.012474240855990063,0.003009874259475673,39.96300549,116.3036825
-0.013150766561041059,0.004236698267024519,39.9630055,116.30368249
-0.013150766561041059,0.004236698267024519,39.9630055,116.30368249
-0.013150766561041059,0.004236698267024519,39.9630055,116.30368249
-0.01399345990162384,0.004364058908809771,39.9630055,116.30368248
-0.01399345990162384,0.004364058908809771,39.9630055,116.30368248
-0.01298459892550927,0.005336161632788114,39.96300551,116.30368249
-0.01298459892550927,0.005336161632788114,39.96300551,116.30368249
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.011299211046803686,0.005081440168227138,39.96300551,116.30368251
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012474240855990063,0.003009874259475673,39.96300549,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.013150766561041059,0.004236698267024519,39.9630055,116.30368249
-0.013150766561041059,0.004236698267024519,39.9630055,116.30368249
-0.013150766561041059,0.004236698267024519,39.9630055,116.30368249
-0.01298459892550927,0.005336161632788114,39.96300551,116.30368249
-0.01298459892550927,0.005336161632788114,39.96300551,116.30368249
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.012141905584926485,0.005208800991002862,39.96300551,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.011465378682335475,0.003981976802463544,39.9630055,116.30368251
-0.011465378682335475,0.003981976802463544,39.9630055,116.30368251
-0.011465378682335475,0.003981976802463544,39.9630055,116.30368251
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.012308073220458274,0.004109337625239268,39.9630055,116.3036825
-0.011465378682335475,0.003981976802463544,39.9630055,116.30368251
-0.009779990803629896,0.003727255337902569,39.9630055,116.30368253
-0.008937297463047111,0.0035998946961173168,39.9630055,116.30368254
-0.007251909584341531,0.0033451732315563413,39.9630055,116.30368256
-0.0055665217056359495,0.003090451766995366,39.9630055,116.30368258
-0.004723828365053168,0.002963091125210114,39.9630055,116.30368259
-0.0055665217056359495,0.003090451766995366,39.9630055,116.30368258
-0.006409215046218733,0.003217812408780618,39.9630055,116.30368257
-0.007251909584341531,0.0033451732315563413,39.9630055,116.30368256
-0.008094602924924314,0.0034725338733415934,39.9630055,116.30368255
-0.008094602924924314,0.0034725338733415934,39.9630055,116.30368255
-0.007251909584341531,0.0033451732315563413,39.9630055,116.30368256
-0.006409215046218733,0.003217812408780618,39.9630055,116.30368257
-0.004723828365053168,0.002963091125210114,39.9630055,116.30368259
-0.003881133826930369,0.0028357303024343907,39.9630055,116.3036826
-0.0030384404863475862,0.0027083696606491387,39.9630055,116.30368261
-0.0030384404863475862,0.0027083696606491387,39.9630055,116.30368261
-0.004723828365053168,0.002963091125210114,39.9630055,116.30368259
-0.004723828365053168,0.002963091125210114,39.9630055,116.30368259
-0.0055665217056359495,0.003090451766995366,39.9630055,116.30368258
-0.006409215046218733,0.003217812408780618,39.9630055,116.30368257
-0.007251909584341531,0.0033451732315563413,39.9630055,116.30368256
-0.008094602924924314,0.0034725338733415934,39.9630055,116.30368255
-0.008937297463047111,0.0035998946961173168,39.9630055,116.30368254
-0.009779990803629896,0.003727255337902569,39.9630055,116.30368253
-0.009779990803629896,0.003727255337902569,39.9630055,116.30368253
-0.008937297463047111,0.0035998946961173168,39.9630055,116.30368254
-0.008094602924924314,0.0034725338733415934,39.9630055,116.30368255
-0.007251909584341531,0.0033451732315563413,39.9630055,116.30368256
-0.006409215046218733,0.003217812408780618,39.9630055,116.30368257
-0.0055665217056359495,0.003090451766995366,39.9630055,116.30368258
-0.004723828365053168,0.002963091125210114,39.9630055,116.30368259
-0.004723828365053168,0.002963091125210114,39.9630055,116.30368259
-0.003881133826930369,0.0028357303024343907,39.9630055,116.3036826
